hour,trips,avg_distance_mi,avg_fare,avg_tip_pct
0,954976,3.99,20.31,21.33
1,624374,3.45,18.08,21.07
2,406008,3.09,16.58,21.72
3,260103,3.37,17.59,21.96
4,166893,4.96,23.83,28.71
5,196151,6.34,28.53,18.19
6,458822,4.94,23.15,18.26
7,927186,3.74,19.54,20.32
8,1301739,3.22,18.58,20.22
9,1508518,3.13,18.65,20.18
10,1664136,3.16,19.04,19.7
11,1807102,3.13,19.3,19.91
12,1961059,3.22,19.74,19.52
13,2033505,3.41,20.46,19.46
14,2183486,3.57,21.25,19.56
15,2250877,3.54,21.24,19.53
16,2284231,3.56,21.45,21.38
17,2456741,3.2,19.74,22.24
18,2557331,3.02,18.45,23.08
19,2254645,3.23,18.6,23.61
20,2044685,3.44,18.97,21.93
21,2067992,3.49,19.05,22.0
22,1858976,3.65,19.66,21.88
23,1398893,4.08,20.96,21.16
