Borough,Zone,trips,avg_fare,avg_tip_pct,total_revenue
Queens,JFK Airport,1856794,64.24,14.62,153628481.32
Manhattan,Upper East Side South,1766832,13.25,22.94,36838782.88
Manhattan,Midtown Center,1737678,16.66,21.43,44074119.03
Manhattan,Upper East Side North,1557770,13.37,22.75,32675726.68
Manhattan,Midtown East,1309964,16.13,21.72,32273608.03
Manhattan,Penn Station/Madison Sq West,1269380,17.39,20.44,32506258.25
Manhattan,Times Sq/Theatre District,1250777,19.75,20.22,36482160.11
Queens,LaGuardia Airport,1245447,44.16,21.55,85383749.19
Manhattan,Lincoln Square East,1182739,14.34,22.54,26315315.02
Manhattan,Midtown North,1063247,16.74,21.44,26945079.94
Manhattan,Murray Hill,1047484,16.07,21.44,25602542.1
Manhattan,Upper West Side South,994716,14.03,23.14,21760407.04
Manhattan,East Chelsea,982201,17.65,22.98,25742376.68
Manhattan,Union Sq,971601,14.74,22.78,22226057.83
Manhattan,Clinton East,918750,15.99,21.04,22177985.44
